title,addr1,mapx,mapy,contenttypeid
가우도 모노레일,전라남도 강진군 가우도길 2-87,126.7847455361,34.5339749368,12
가우도 출렁다리,전라남도 강진군 도암면 신기리,126.7717356912,34.5288669609,12
가원습지 생태자연공원,강원특별자치도 동해시 지가동 77-6,129.1070564038,37.4736521046,12
가월리 · 주월리 구석기 유적,경기도 파주시 적성면 달빛길 345,126.9042297694,37.9841931357,12
가을동화 감귤밭,제주특별자치도 서귀포시 서홍동,126.5518123101,33.2556272247,12
가의도,충청남도 태안군 근흥면 가의도길,126.0749440746,36.6730836379,12
가인 김병로 생가터,전북특별자치도 순창군 복흥면 하리길 160,126.9774224423,35.4505693165,12
가장마을,전북특별자치도 남원시 운봉읍 가장길 4,127.5179339854,35.4101221138,12
가정녹색농촌체험마을,전라남도 곡성군 고달면 가정마을길 120,127.3712766775,35.2263181024,12
가제산,충청남도 태안군 이원면 포지리,126.2905250464,36.8646346339,12
가조 백두산천지온천,경상남도 거창군 가조면 온천길 161,128.0229317531,35.6985345364,12
가조도,경상남도 거제시 사등면 가조로 1298,128.5206884618,34.9577018859,12
가조도선착장,경상남도 거제시 사등면 가조로2길 62,128.5261915327,34.9285746891,12
가족문화센터,울산광역시 남구 대공원로 84,129.2905556337,35.5319960593,12
가지산 쇠점골계곡,경상남도 밀양시 산내면 얼음골로 177,128.9819618018,35.5803542935,12
가지산도립공원(밀양),경상남도 밀양시 산내면,128.9804563782,35.5803348234,12
가진항,강원특별자치도 고성군 죽왕면 가진해변길 121-12,128.5133183548,38.3682229327,12
가진해변,강원특별자치도 고성군 죽왕면 가진리 495-6,128.4546324706,38.4428575247,12
가창 찐빵 골목,대구광역시 달성군 가창면 가창로 1099,128.6222232980,35.8027142041,12
가천 다랭이마을,경상남도 남해군 남면 홍현리 남면로 679번길 21,127.8943963083,34.7279803963,12
가탄마을,경상남도 하동군 화개면 탑리,127.6380178715,35.1951401371,12
가톨릭 목포 성지,전라남도 목포시 산정동,126.3857937169,34.7996301851,12
가파도,제주특별자치도 서귀포시 대정읍 가파로,126.2735884192,33.1664326869,12
가파도 소망전망대,제주특별자치도 서귀포시 대정읍 가파리,126.2688165585,33.1688017961,12
가파마을,충청남도 청양군 대치면 가파로 506-8,126.8800510114,36.4978037404,12
가평 아홉마지기마을,경기도 가평군 가평읍 용추로 238,127.4877442849,37.8475697154,12
가평 연인산마을,경기도 가평군 북면 백둔로 417-11,127.4623783495,37.9014407526,12
가평 연하리향나무,경기도 가평군 상면,127.3487111543,37.7990672488,12
가평 영양잣마을,경기도 가평군 상면 축령로 70,127.3645382139,37.7741593259,12
가평 현충탑,경기도 가평군 가평읍 호반로 2540,127.5157483134,37.8126354086,12
가평군목공예영농조합,경기도 가평군 가평읍 경춘로 2045-65,127.4980942715,37.8158569298,12
가평군어린이음악놀이터,경기도 가평군 가평읍 중앙로 10,127.5132759112,37.8264393122,12
가평별묘,경기도 가평군 설악면 방일리,127.4915450327,37.6196823854,12
가평학도의용대참전비,경기도 가평군 가평읍 문화로 131,127.5057710373,37.8265224976,12
가평향교,경기도 가평군 가평읍 호반로 1660-143,127.5133533425,37.7431684422,12
가포수변공원,경상남도 창원시 마산합포구 가포본동7길 11-13,128.5842831951,35.1552892222,12
가포해안변공원,경상남도 창원시 마산합포구 드림베이대로 361,128.5901742863,35.1575501862,12
가학동지석묘,경기도 광명시 가학동,126.8568365465,37.4085426445,12
가학산,전라남도 완도군 소안면 미라리,126.6593100914,34.1522183506,12
가호서원,경상남도 진주시 이반성면 용암길 59-2,128.3325771223,35.1664473205,12
가회동성당,서울특별시 종로구 북촌로 57 (가회동),126.9846616856,37.5820858828,12
각골공원,경기도 안산시 상록구 본오동,126.8741021292,37.2914704176,12
각사산촌생태마을,경상남도 합천군 가야면 야천로 101,128.1397749758,35.7729976524,12
각산,경상남도 사천시 동림동,128.0571209743,34.9434368938,12
각시바우오름,제주특별자치도 서귀포시 호근동,126.5259918298,33.2777271543,12
각연사(괴산),충청북도 괴산군 칠성면 각연길 451,127.9274860663,36.7543041419,12
각원사,충청남도 천안시 동남구 각원사길 245 (안서동),127.1964300734,36.8338567886,12
각흘도,전라남도 진도군 조도면 관매작흘도길 6,126.0510943280,34.2577606440,12
간곡서원,충청남도 부여군 임천면 성흥로283번길 31-4,126.9083929500,36.1825403583,12
간데메공원,서울특별시 동대문구 서울시립대로2길 59 (답십리동),127.0490783005,37.5728353382,12
간성향교,강원특별자치도 고성군 간성읍 진부령로 2659,128.4389748268,38.3778814721,12
간송옛집,서울특별시 도봉구 시루봉로 149-18 (방학동),127.0282025819,37.6649464754,12
간월도 어리굴젓 기념탑,충청남도 서산시 부석면 간월도리,126.4165120460,36.6097467485,12
간월도 해양경관 탐방로,충청남도 서산시 부석면 간월도2길 30,126.4211700538,36.6061222456,12
간월도마을,충청남도 서산시 부석면 간월도리,126.4227029018,36.6192846446,12
간월산,울산광역시 울주군 상북면 간월산길 614,129.0480650268,35.5561610255,12
간월산 자연휴양림,울산광역시 울주군 상북면 등억알프스로 607-15,129.0560529115,35.5671043874,12
간월암(서산),충청남도 서산시 부석면 간월도1길 119-29,126.4114209947,36.6038362307,12
간월재,울산광역시 울주군 상북면 간월산길 614,129.0453821487,35.5482424218,12
간월호 쉼터공원,충청남도 서산시 부석면 창리,126.3770097125,36.6229473299,12
간이해변,강원특별자치도 속초시 청호동,128.5949549553,38.2042130775,12
간재선생유지,전북특별자치도 부안군 계화면 양지길 12,126.6371856100,35.7943022476,12
간절곶 등대,울산광역시 울주군 서생면 간절곶1길 39-2,129.3605738299,35.3589668021,12
간절곶 소망길,울산광역시 울주군 서생면 나사리,129.3492110511,35.3546337414,12
간절곶소망우체통,울산광역시 울주군 서생면 대송리,129.3611487843,35.3588057199,12
간현관광지,강원특별자치도 원주시 소금산길 12,127.8340575195,37.3646293574,12
갈거계곡,전북특별자치도 진안군 정천면 휴양림길 77,127.4377085322,35.9085419668,12
갈계숲,경상남도 거창군 북상면,127.8160256582,35.7789272818,12
갈골한과마을 명인의 집,강원특별자치도 강릉시 사천면 중앙서로 62,128.8432831780,37.8245147710,12
갈기산,충청북도 영동군 양산면 호탄리,127.6280083624,36.1121138260,12
