title,addr1,mapx,mapy,eventstartdate,eventenddate
문경찻사발축제,경상북도 문경시 새재로 932,128.0770113639,36.7616504930,20250503,20250511
문화가 있는 날 실버마이크 <전라·제주 권역>,광주광역시 남구 덕남길 7 (노대동),126.8961578975,35.1011713369,20250326,20251231
문화가 있는 날 청춘마이크 충청권,대전광역시 유성구 유성대로740번길 46 (장대동),127.3359221723,36.3595553767,20250325,20251130
물금벚꽃축제,경상남도 양산시 물금읍 황산공원1길 275,128.9814054996,35.3079543547,20250329,20250330
밀양아리랑대축제,경상남도 밀양시 삼문동,128.7571006565,35.4899047653,20250522,20250525
백제문화제,충청남도 공주시 금벽로 368 (신관동),127.1275545162,36.4702917892,20251003,20251012
벚꽃과 함께하는 청주 푸드트럭 축제,충청북도 청주시 상당구 사직대로 343 (영동),127.4854845219,36.6368123838,20250404,20250406
베어트리파크 봄꽃 축제,세종특별자치시  신송로 217 베어트리파크,127.2101554814,36.6728227784,20250329,20250511
베어트리파크 크리스마스 판타지,세종특별자치시 전동면 신송로 217,127.2101554814,36.6728227784,20241123,20250202
별빛이 흐르는 정원,경기도 파주시 탑삭골길 260,126.7949386312,37.7326399636,20250101,20251231
보령 석탄 에너지전환 축제,충청남도 보령시 성주면 성주산로 500,126.6513122257,36.3265166563,20250125,20250125
보령·AMC 국제 모터 페스티벌,충청남도 보령시 신흑동,126.5150525654,36.3146517934,20250503,20250505
보령머드축제,충청남도 보령시 신흑동,126.5150414496,36.3148684347,20250725,20250810
보롬왓 튤립축제,제주특별자치도 서귀포시 표선면 번영로 2350-104,126.7525080052,33.4135241052,20250322,20250413
보배섬 유채꽃 축제,전라남도 진도군 조도면 관매도리,126.0551471804,34.2390600248,20250411,20250413
보성다향대축제,전라남도 보성군 보성읍 녹차로 775,127.0817371312,34.7198757111,20250502,20250506
보은 벚꽃길 축제,충청북도 보은군 보은읍 이평리,127.7239619129,36.4814289276,20250404,20250413
부산 밀 페스티벌,부산광역시 북구 화명동,129.0038973083,35.2313411422,20250505,20250506
부산과학축전,부산광역시 해운대구 APEC로 55 (우동),129.1355209016,35.1687450332,20250412,20250413
부산국제록페스티벌,부산광역시 사상구 삼락동,128.9682186811,35.1728970354,20250926,20250928
부산국제매직페스티벌,부산광역시 동구 자성로133번길 16 (범일동),129.0652500541,35.1388859662,20250412,20251214
부산수제맥주축제,부산광역시 부산진구 서면문화로 32 (부전동),129.0562808127,35.1599834385,20250326,20250329
부산스텝업댄스페스티벌,부산광역시 해운대구 수영강변대로 120 (우동),129.1270687971,35.1710029572,20250516,20250518
부산연등회,부산광역시 부산진구 동성로112번길 121-1,129.0669047455,35.1651997173,20250418,20250506
부산원도심활성화축제 [택슐랭],부산광역시 동구 중앙대로 210 (초량동),129.0408611560,35.1151853926,20250516,20250518
부안마실축제,전북특별자치도 부안군 부안읍 별천지로 3,126.7416641514,35.7258451509,20250502,20250505
부여 국가유산 야행,충청남도 부여군 부여읍 정림로 83,126.9128955516,36.2790710570,20250404,20250406
부여서동연꽃축제,충청남도 부여군 부여읍 동남리,126.9106403824,36.2720857064,20250704,20250706
부천국제만화축제,경기도 부천시 길주로 1,126.7422053159,37.5082512500,20250925,20250928
부평풍물대축제,인천광역시 부평구 부평대로 60 (부평동),126.7229990543,37.4968022399,20250926,20250928
비슬산 참꽃문화제,대구광역시 달성군 유가읍 일연선사길 10,128.5060393495,35.6922856650,20250412,20250413
빙어대잔치,인천광역시 강화군 고비고개로741번길 37-48,126.4155126209,37.7199236130,20241221,20250216
쁘띠프랑스 & 이탈리아마을 베니스 카니발 가면축제,경기도 가평군 청평면 호반로 1063,127.4909256481,37.7150574078,20241206,20250228
사라온과 함께하는 사랑온설날,대구광역시 군위군 군위읍 동서길 49,128.5671382291,36.2361279163,20250128,20250130
사천에어쇼,경상남도 사천시 삼천포대교로 471 (동림동),128.0756944407,34.9399903856,20261029,20261101
산청한방약초축제,경상남도 산청군 금서면 동의보감로555번길 61,127.8278558315,35.4411518319,20251002,20251012
삼척정월대보름제,강원특별자치도 삼척시 엑스포로 45 (성남동),129.1601305152,37.4383405416,20250214,20250216
삽다리 한바탕 축제,충청남도 예산군 삽교읍 두리,126.7412445511,36.6872906491,20250315,20250315
상플 빈티지 마켓,인천광역시 중구 월미로 33 (북성동1가),126.6146650689,37.4761360618,20250301,20250303
새해 맞이 불꽃쇼 & 소원 풍선 날리기 축제,강원특별자치도 고성군 삼포해변길 9 오션투유콘도,128.5310377884,38.3171459011,20250128,20250128
생거진천 농다리축제,충청북도 진천군 진천읍 문화로 79,127.4398938112,36.8500731710,20250405,20250608
서귀포유채꽃축제,제주특별자치도 서귀포시 표선면 녹산로 381-17,126.7356684832,33.3834771540,20250329,20250330
서대문 봄빛축제,서울특별시 서대문구 홍은동,126.9370688057,37.5819600437,20250404,20250406
"서대문, 1919 그날의 함성!",서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,20250301,20250302
서면 빛 축제,부산광역시 부산진구 부전동,129.0571225564,35.1544785148,20241002,20250110
서울 빛초롱 축제,서울특별시 종로구 서린동,126.9790653347,37.5693205997,20241213,20250131
서울 아시테지 겨울축제,서울특별시 종로구 대학로12길 46 (동숭동),127.0037293912,37.5821140004,20241227,20250105
서울가든페스타,서울특별시 성동구 뚝섬로 273 (성수동1가),127.0418131384,37.5431247707,20250405,20250505
서울국제도서전,서울특별시 강남구 영동대로 513 (삼성동),127.0592179950,37.5119175967,20250618,20250622
서울라이트 DDP : 새해맞이 카운트다운,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,20241231,20250101
서울라이트 광화문,서울특별시 종로구 세종로 1-68 5호선 광화문역,126.9767821434,37.5716786179,20241213,20250105
서울서커스페스티벌,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,20250503,20250505
서울세계도시문화축제,서울특별시 종로구 세종대로 175 세종이야기,126.9768376784,37.5722341099,20250524,20250525
서울스프링페스타,서울특별시 종로구 세종대로 175 세종이야기,126.9768376784,37.5722341099,20250430,20250506
서울조각페스티벌,서울특별시 중구 세종대로 110 (태평로1가),126.9777210995,37.5662570431,20250217,20251231
서천 동백꽃 주꾸미 축제,충청남도 서천군 서인로 58,126.5036833852,36.1297866703,20250315,20250330
서천 마량진항 해넘이 해돋이 행사,충청남도 서천군 서면 서인로 58,126.5036833852,36.1297866703,20241231,20250101
선농대제,서울특별시 동대문구 무학로44길 38 (제기동),127.0319046265,37.5812368301,20250418,20250419
설 맞이 어울마당,충청남도 부여군 부여읍 금성로 5,126.9179090801,36.2756881980,20250125,20250130
설맞이 작은문화축전,전북특별자치도 전주시 완산구 쑥고개로 249,127.0897200882,35.8013230910,20250128,20250130
성북세계음식축제 누리마실,서울특별시 성북구 성북로 37 (성북동1가),127.0032597348,37.5911073903,20250518,20250518
성주참외&생명문화축제,경상북도 성주군 성주읍 성밖숲길 30,128.2800725635,35.9158034572,20250515,20250518
세계라면축제,부산광역시 기장군 기장읍 시랑리,129.2183879372,35.1963129283,20250502,20250511
세계유산축전,제주특별자치도 제주시 조천읍 선교로 569-36,126.7142575546,33.4569020299,20250704,20251022
세븐비치 어싱 챌린지,부산광역시 기장군 장안읍 임랑해안길 51,129.2641999985,35.3189972570,20250322,20250322
세종낙화축제,세종특별자치시 중앙공원로 60 (세종동),127.2701689309,36.4913335625,20250426,20250426
세종시 빛 축제,세종특별자치시 보람동,127.2918422185,36.4828515855,20241213,20250115
세종시 정월대보름 맞이 행사,세종특별자치시 세종동,127.2879120298,36.4823210211,20250208,20250208
세종축제,세종특별자치시  호수공원길 155,127.2750155705,36.4967663593,20251009,20251011
세종화랑협회 창립기념 아트페어 “프로젝트 FREE” 겨울정원54℃,세종특별자치시 조치원읍 평리,127.3005158320,36.6069486170,20241221,20250103
센텀맥주축제,부산광역시 해운대구 수영강변대로 120 (우동),129.1270687971,35.1710029572,20250529,20250608
소래포구 축제,인천광역시 남동구 장도로 86-17,126.7393253184,37.3979806750,20250926,20250928
송도달집축제,부산광역시 서구 송도해변로 100 (암남동),129.0180752934,35.0768587065,20250212,20250212
송파구 호수벚꽃축제,서울특별시 송파구 송파나루길 206 (신천동),127.1042611168,37.5119517366,20250402,20250406
쇼죠마츠리 봄축제,경기도 동두천시 천보산로 567-12,127.0924044440,37.8796198573,20250412,20250511
수안보온천제,충청북도 충주시 수안보면 물탕2길 17,127.9909083077,36.8470085564,20250411,20250413
수영전통달집놀이,부산광역시 수영구 광안해변로 219 (광안동),129.1185477876,35.1538130576,20250212,20250212
수원화성문화제,경기도 수원시 팔달구 정조로 825,127.0120008348,37.2872039225,20250927,20251004
순창장류축제,전북특별자치도 순창군 순창읍 민속마을길 6-3,127.1099933429,35.3686391948,20251017,20251019
쉬엄쉬엄 한강 3종 축제,서울특별시 광진구 능동로 10 (자양동),127.0667334178,37.5316404411,20250530,20250601
스프링워크서울,서울특별시 영등포구 여의동로 330 (여의도동),126.9336095794,37.5263997727,20250420,20250420
승기천 꽃피나 봄,인천광역시 연수구 청능대로 205 (연수동),126.6846105988,37.4073369553,20250418,20250419
시나브로 치유길 힐링 걷기 챌린지(전북특별자치도 완주편),전북특별자치도 완주군 구이면 덕천전원길 232-58,127.1361790273,35.7260602293,20250302,20250302
시나브로 치유길 힐링 걷기 챌린지(충청남도 공주편),충청남도 공주시 사곡면 마곡사로 966,127.0123291438,36.5588462678,20250301,20250301
시흥 패밀리 빙어 축제,경기도 시흥시 수인로2107번길 35 (조남동),126.8729528209,37.3700890596,20241207,20250430
시흥월곶포구축제,경기도 시흥시 월곶중앙로14번길 56 (월곶동),126.7427224015,37.3918647788,20251017,20251019
아산 성웅 이순신축제,충청남도 아산시 온천대로 1496 (온천동),127.0035044825,36.7805372863,20250425,20250427
아이가 행복입니다,서울특별시 송파구 올림픽로 300 (신천동),127.1040749597,37.5141653654,20250919,20250920
아차산 해맞이 축제,서울특별시 광진구 광장동,127.0999520311,37.5522275380,20250101,20250101
아침고요 야생화전시회,경기도 가평군 상면 수목원로 432,127.3525096320,37.7439487308,20250308,20250413
아침고요수목원 오색별빛정원전,경기도 가평군 상면 수목원로 432,127.3525845994,37.7448402954,20241206,20250316
안동 암산얼음축제,경상북도 안동시 남후면 암산1길 59,128.6787928334,36.5064353270,20250118,20250126
안동국제탈춤페스티벌,경상북도 안동시 축제장길 200 (운흥동),128.7306588876,36.5605523512,20250926,20251005
안동벚꽃축제,경상북도 안동시 축제장길 200 (운흥동),128.7306588876,36.5605523512,20250402,20250406
안산 성호문화제,경기도 안산시 상록구 성호로 113 (이동),126.8610499084,37.3140786764,20250531,20250601
안산국제거리극축제,경기도 안산시 단원구 광덕대로 157,126.8298361705,37.3107923927,20250503,20250505
안성 동막골 빙어축제,경기도 안성시 죽산면 곰내미길 48,127.4225243072,37.0074602862,20250103,20250130
안성맞춤 남사당 바우덕이 축제,경기도 안성시 보개면 남사당로 198-2,127.3101782044,37.0318776686,20251009,20251012
양양 낙산해변 달빛 모닥불축제,강원특별자치도 양양군 강현면 해맞이길 59,128.6339069192,38.1169767617,20250214,20250215
양양생생축제,강원특별자치도 양양군 양양읍 일출로 570,128.6245424252,38.0744454122,20250405,20250413
양재 아트 살롱,서울특별시 서초구 양재동,127.0415261579,37.4766713709,20250328,20250525
양재천 벚꽃 등(燈) 축제,서울특별시 서초구 양재동,127.0415289351,37.4766658159,20250403,20250427
양주 눈꽃축제,경기도 양주시 장흥면 권율로 594,126.9684887063,37.7581595486,20241227,20250216
양평 단월 고로쇠축제,경기도 양평군 단월면 보룡길 127,127.6702976385,37.5452776406,20250315,20250316
양평 용문산 산나물축제,경기도 양평군 용문산로 656 용문산 매표소,127.5823639139,37.5463842253,20250425,20250427
양평모두봄날,경기도 양평군 단월면 곱다니길 55-2,127.6573663730,37.5144948588,20250315,20250528
양평빙송어축제,경기도 양평군 곱다니길 55-2,127.6574135888,37.5145504080,20241123,20250303
양평빙어축제,경기도 양평군 단월면 백동길 269-19,127.6843181301,37.5610399614,20250117,20250223
양평산수유한우축제,경기도 양평군 개군면 하자포길33번길 8,127.5368298536,37.4260473329,20250329,20250330
얼음나라화천 산천어축제,강원특별자치도 화천군 화천읍 산천어길 137,127.7099022603,38.1126818434,20250111,20250202
에덴벚꽃길 벚꽃축제,경기도 가평군 청평면 에덴벚꽃길 139,127.4770526297,37.7855989511,20250405,20250413
여성마라톤대회,서울특별시 마포구 월드컵로 251 (성산동),126.8964785141,37.5659583996,20250503,20250503
여수 영취산 진달래축제,전라남도 여수시 중흥동,127.6957945797,34.8230912916,20250322,20250323
여수거북선축제,전라남도 여수시 선어시장길 6 (중앙동),127.7363903743,34.7396152373,20250503,20250505
여수향일암일출제,전라남도 여수시 돌산읍 향일암로 60,127.8030076977,34.5938299207,20241231,20250101
여주도자기축제,경기도 여주시 천송동,127.6556949700,37.2992114088,20250501,20250511
여주오곡나루축제,경기도 여주시 천송동,127.6557727420,37.2991725260,20251017,20251019
여주흥천남한강 벚꽃축제,경기도 여주시 흥천면 귀백리,127.5587995403,37.3484483837,20250411,20250413
연등회,서울특별시 종로구 우정국로 55 (견지동),126.9827509785,37.5739784579,20250426,20250427
연제오방맛길 빛 축제,"부산광역시 연제구 고분로13번길 25 (연산동, 연산동 쌍용아파트)",129.0845137227,35.1871559163,20241025,20250210
연천구석기축제,경기도 연천군 전곡읍 양연로 1510,127.0611506837,38.0122815870,20250502,20250505
영덕대게축제,경상북도 영덕군 강구면 오포리,129.3939365902,36.3616404038,20250314,20250317
영동곶감축제,충청북도 영동군 영동읍 계산리,127.7744519511,36.1750287209,20250103,20250105
영동난계국악축제,충청북도 영동군 심천면 국악로1길 33,127.7014657782,36.2117843308,20250912,20251011
영등포 여의도 봄꽃축제,서울특별시 영등포구 여의도동,126.9312014213,37.5279662141,20250408,20250412
영암 고구마 달빛축제,전라남도 영암군 영암읍 서남리,126.6995604813,34.7991742983,20250215,20250215
